                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51988,                 2.8955,                  1.068,                0.11766,                0.68622,                0.12755,                0.08804,                0.47224,                 2.3212,                 1.2269,              0.0033302,              0.0033302,              0.0033302
                      2,                0.32738,                 1.7564,                0.94811,                0.12325,                0.90379,                0.15065,                0.14976,                0.18816,                 2.3034,                 1.0702,              0.0065316,              0.0065316,              0.0065316
                      3,                0.33095,                 1.6895,                0.94359,                0.23919,                0.52433,                 0.2502,                0.24718,                0.58046,                 3.2036,                 1.3059,               0.009601,               0.009601,               0.009601
                      4,                0.29951,                 1.6343,                 0.9339,                0.19715,                0.48013,                0.24314,                0.19137,                0.28902,                 3.1909,                 1.1167,               0.009406,               0.009406,               0.009406
                      5,                0.25186,                 1.5794,                0.92329,                0.40003,                0.49901,                0.33676,                0.33353,                0.17191,                 3.2118,                 1.0981,               0.009406,               0.009406,               0.009406
                      6,                0.22643,                 1.5436,                0.91803,                0.63556,                0.41524,                0.35906,                0.35634,                0.15778,                  3.445,                 1.0891,               0.009208,               0.009208,               0.009208
                      7,                0.20554,                 1.5148,                0.91133,                0.32749,                0.65872,                0.39196,                0.38927,                0.10338,                  1.643,                 1.0632,                0.00901,                0.00901,                0.00901
                      8,                0.19158,                 1.4954,                0.91028,                0.32586,                0.66025,                0.40798,                0.40332,                 0.1194,                 1.5096,                 1.0702,               0.008812,               0.008812,               0.008812
                      9,                0.18123,                 1.4803,                0.90721,                0.34433,                0.62437,                 0.3956,                 0.3793,                0.16932,                 2.2485,                 1.0784,               0.008614,               0.008614,               0.008614
                     10,                0.17376,                 1.4657,                0.90505,                 0.3191,                0.64132,                0.42543,                0.42273,                0.10104,                 1.7019,                 1.0616,               0.008416,               0.008416,               0.008416
                     11,                 0.1664,                 1.4502,                 0.9028,                0.38716,                0.69248,                0.45943,                0.45836,                0.10427,                 1.4193,                 1.0537,               0.008218,               0.008218,               0.008218
                     12,                0.16041,                 1.4364,                0.90274,                0.33842,                0.68152,                0.46481,                0.45432,                0.12924,                 1.3971,                 1.0656,                0.00802,                0.00802,                0.00802
                     13,                0.15556,                 1.4304,                0.90292,                0.37879,                0.66843,                 0.4925,                0.48542,                0.10793,                 1.2647,                 1.0614,               0.007822,               0.007822,               0.007822
                     14,                 0.1519,                  1.417,                0.90098,                0.43464,                0.66395,                0.50084,                0.50022,                0.11275,                 2.3506,                 1.0542,               0.007624,               0.007624,               0.007624
                     15,                0.14756,                  1.409,                0.90042,                0.38481,                0.64939,                 0.5118,                0.50312,                0.13653,                 1.3734,                 1.0668,               0.007426,               0.007426,               0.007426
                     16,                0.14279,                 1.3938,                0.89931,                0.36706,                0.64325,                0.49366,                0.47529,                0.13945,                 1.4393,                 1.0646,               0.007228,               0.007228,               0.007228
                     17,                0.14214,                 1.3897,                0.89894,                0.43075,                0.62487,                0.52238,                0.51224,                0.14271,                 1.3651,                 1.0665,                0.00703,                0.00703,                0.00703
                     18,                0.13593,                 1.3829,                0.89789,                0.42605,                0.64596,                0.52494,                0.50288,                0.15542,                  1.448,                 1.0681,               0.006832,               0.006832,               0.006832
                     19,                0.13647,                 1.3791,                0.89822,                0.47409,                 0.6611,                0.57077,                 0.5662,                0.11989,                 1.2144,                 1.0603,               0.006634,               0.006634,               0.006634
                     20,                0.13266,                 1.3741,                0.89711,                0.45637,                0.62232,                0.54804,                0.52933,                0.15021,                 1.3561,                 1.0669,               0.006436,               0.006436,               0.006436
                     21,                0.13012,                 1.3636,                0.89637,                0.48026,                0.66843,                 0.5746,                0.57044,                0.10433,                  1.191,                 1.0548,               0.006238,               0.006238,               0.006238
                     22,                0.12806,                 1.3579,                0.89697,                0.45927,                0.60824,                 0.5609,                 0.5444,                0.13061,                 1.3164,                 1.0623,                0.00604,                0.00604,                0.00604
                     23,                0.12583,                 1.3534,                0.89581,                0.49473,                0.62426,                 0.5733,                0.56914,                0.10928,                 1.2718,                  1.057,               0.005842,               0.005842,               0.005842
                     24,                0.12366,                 1.3442,                0.89613,                 0.5153,                0.62993,                0.60126,                0.59218,                0.13335,                 1.2333,                 1.0622,               0.005644,               0.005644,               0.005644
                     25,                0.12253,                 1.3396,                0.89543,                0.52379,                 0.6188,                0.60105,                0.59872,                0.09302,                 1.1283,                 1.0543,               0.005446,               0.005446,               0.005446
                     26,                0.12048,                 1.3388,                0.89605,                0.52352,                0.67474,                0.62253,                0.62152,                0.08564,                 1.0879,                 1.0511,               0.005248,               0.005248,               0.005248
                     27,                0.11811,                 1.3287,                0.89575,                0.50755,                0.61117,                0.59173,                0.57755,                 0.1315,                 1.3288,                 1.0624,                0.00505,                0.00505,                0.00505
                     28,                0.11599,                 1.3228,                0.89468,                0.53411,                0.61537,                0.60278,                0.58533,                0.13145,                  1.243,                 1.0587,               0.004852,               0.004852,               0.004852
                     29,                0.11392,                 1.3182,                0.89362,                0.52736,                0.63044,                0.61937,                0.60784,                0.12654,                 1.2233,                 1.0586,               0.004654,               0.004654,               0.004654
                     30,                0.11275,                 1.3114,                0.89306,                0.56481,                0.62861,                0.63311,                0.62517,                 0.1025,                 1.1141,                 1.0541,               0.004456,               0.004456,               0.004456
                     31,                0.11188,                 1.3077,                0.89309,                0.51161,                0.59717,                0.58831,                0.55996,                0.16326,                 1.4998,                  1.063,               0.004258,               0.004258,               0.004258
                     32,                0.11016,                 1.3033,                0.89329,                0.56003,                0.63391,                0.62058,                0.60947,                0.12784,                 1.2368,                 1.0569,                0.00406,                0.00406,                0.00406
                     33,                0.10759,                 1.3021,                0.89358,                0.57479,                0.66639,                0.65442,                0.64912,                 0.1072,                 1.0879,                 1.0542,               0.003862,               0.003862,               0.003862
                     34,                 0.1071,                 1.2985,                0.89282,                0.60644,                0.65988,                0.67226,                0.67154,                0.08966,                0.98809,                 1.0518,               0.003664,               0.003664,               0.003664
                     35,                0.10487,                 1.2962,                0.89191,                  0.608,                0.64984,                0.66943,                0.66711,                 0.0985,                 1.0682,                 1.0543,               0.003466,               0.003466,               0.003466
                     36,                0.10296,                 1.2889,                0.89363,                0.59316,                0.67272,                0.67563,                0.67427,                0.08813,                 1.0053,                 1.0514,               0.003268,               0.003268,               0.003268
                     37,                0.10161,                 1.2832,                0.89161,                0.59427,                0.67876,                0.68021,                0.67894,                0.08803,                 0.9914,                 1.0521,                0.00307,                0.00307,                0.00307
                     38,                0.10026,                  1.277,                0.89149,                0.58786,                0.68972,                0.68716,                0.68585,                0.08885,                 0.9843,                 1.0522,               0.002872,               0.002872,               0.002872
                     39,                0.09918,                 1.2776,                0.89103,                0.60197,                0.67947,                0.68904,                0.68789,                0.08589,                0.98346,                 1.0522,               0.002674,               0.002674,               0.002674
                     40,                0.09674,                 1.2742,                0.89203,                0.62942,                0.65132,                0.68927,                 0.6878,                0.08545,                0.99733,                 1.0519,               0.002476,               0.002476,               0.002476
                     41,                 0.0773,                0.94931,                0.90699,                  0.609,                0.69204,                0.70236,                0.70204,                0.07367,                 0.8849,                  1.048,               0.002278,               0.002278,               0.002278
                     42,                0.06953,                0.91645,                0.90382,                0.61708,                0.69216,                0.70949,                0.70936,                0.07219,                0.87266,                 1.0471,                0.00208,                0.00208,                0.00208
                     43,                 0.0663,                0.89639,                0.90355,                0.63008,                0.68964,                0.71594,                0.71585,                0.06517,                0.85788,                  1.046,               0.001882,               0.001882,               0.001882
                     44,                0.06435,                0.87582,                0.90173,                0.61734,                0.70735,                0.72024,                0.72015,                0.05943,                0.85002,                 1.0451,               0.001684,               0.001684,               0.001684
                     45,                0.06168,                 0.8632,                0.90309,                0.62179,                0.71489,                0.72589,                0.72581,                0.05788,                0.84193,                 1.0446,               0.001486,               0.001486,               0.001486
                     46,                0.05934,                0.84977,                0.90441,                0.63151,                0.70939,                0.73032,                0.73026,                0.05743,                0.83834,                 1.0445,               0.001288,               0.001288,               0.001288
                     47,                0.05739,                0.82953,                0.90251,                0.63394,                0.71478,                0.73412,                0.73409,                0.05689,                0.83124,                 1.0441,                0.00109,                0.00109,                0.00109
                     48,                0.05481,                0.82073,                0.90347,                0.63897,                0.71175,                0.73724,                0.73719,                0.05469,                0.82133,                 1.0435,               0.000892,               0.000892,               0.000892
                     49,                0.05295,                0.81002,                0.90317,                 0.6419,                0.71582,                0.73999,                0.73993,                0.05564,                0.81736,                 1.0434,               0.000694,               0.000694,               0.000694
                     50,                0.05205,                0.79181,                0.90217,                0.64367,                0.71596,                0.74227,                0.74217,                0.05612,                0.81695,                 1.0433,               0.000496,               0.000496,               0.000496
